type,timestamp,time_diff,totalCursorDistance,totalMouseClicks,user_id,version_id,option_id,old_vote,new_vote,vote_diff,option_position,option_position_view
initializing system,2023-09-30 21:29:45.769000+00:00,55.118,2417.450869923593,0,S003,v1,,,,,,
options/updateOptionVotes,2023-09-30 21:31:30.090000+00:00,49.20299999999999,3596.0287262745883,6,S003,v1,option_15,0.0,3.0,3.0,5.0,2.0
options/updateOptionVotes,2023-09-30 21:31:37.572000+00:00,7.481999999999999,391.227658568046,2,S003,v1,option_1,0.0,2.0,2.0,2.0,5.0
options/updateOptionVotes,2023-09-30 21:31:48.505000+00:00,10.933,245.09024249326387,2,S003,v1,option_11,0.0,5.0,5.0,3.0,4.0
options/updateOptionVotes,2023-09-30 21:31:52.760000+00:00,4.255,480.4533663728873,2,S003,v1,option_21,0.0,7.0,7.0,6.0,1.0
options/updateOptionVotes,2023-09-30 21:31:55.639000+00:00,2.879,297.67431804631167,2,S003,v1,option_21,7.0,5.0,-2.0,6.0,1.0
options/updateOptionVotes,2023-09-30 21:31:59.650000+00:00,4.010999999999999,441.5422339087844,2,S003,v1,option_11,5.0,3.0,-2.0,3.0,4.0
options/updateOptionVotes,2023-09-30 21:32:09.140000+00:00,9.49,794.6624690014826,2,S003,v1,option_8,0.0,3.0,3.0,1.0,6.0
options/updateOptionVotes,2023-09-30 21:32:14.133000+00:00,4.992999999999999,291.2337468775321,2,S003,v1,option_4,0.0,1.0,1.0,4.0,3.0
options/updateOptionVotes,2023-09-30 21:32:28.050000+00:00,13.917,1687.360201197666,3,S003,v1,option_4,1.0,2.0,1.0,4.0,3.0
options/updateOptionVotes,2023-09-30 21:32:33.720000+00:00,5.67,514.855582452879,2,S003,v1,option_4,2.0,1.0,-1.0,4.0,3.0
initializing system,2023-10-01 23:44:24.189000+00:00,75.08500000000001,3939.668390646404,0,S007,v1,,,,,,
options/updateOptionVotes,2023-10-01 23:47:00.073000+00:00,80.799,8850.678698942027,2,S007,v1,option_5,0.0,4.0,4.0,6.0,1.0
options/updateOptionVotes,2023-10-01 23:47:08.983000+00:00,8.91,252.70822369822903,2,S007,v1,option_9,0.0,4.0,4.0,1.0,6.0
options/updateOptionVotes,2023-10-01 23:48:22.763000+00:00,73.78,5289.941384376041,7,S007,v1,option_5,4.0,7.0,3.0,6.0,1.0
options/updateOptionVotes,2023-10-01 23:48:26.970000+00:00,4.207,318.0402252434176,3,S007,v1,option_5,7.0,6.0,-1.0,6.0,1.0
options/updateOptionVotes,2023-10-01 23:48:30.503000+00:00,3.533,104.108634584488,2,S007,v1,option_9,4.0,7.0,3.0,1.0,6.0
